trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,family,param
71,0.7323943661971831,2.7185205471809373,0.043089018470544665,0.04512798211100688,9.41684887222774,0.4790121618662806,1.0378182507418423,-0.4884931582236043,0.9805913425854291,0.12781456953642384,1041684.887222774,ATRpct5_min,0.03
70,0.7285714285714285,2.7080577140260482,0.04343849021058144,0.047169635156476875,9.226372492261449,0.4744607088049566,1.0315772621128232,-0.4884931582236043,0.9712740103266208,0.12649006622516556,1022637.249226145,ATRpct5_min,0.04
64,0.71875,2.6108776229656585,0.04477205843361542,0.05024708603100281,7.625758145320837,0.4331350940224099,0.9767563528575918,-0.4884931582236043,0.8866758658350449,0.11456953642384106,862575.8145320837,ATRpct5_min,0.05
55,0.7090909090909091,2.7334653743583797,0.049600481042831095,0.06439330951290412,6.716475080490426,0.40671943344209494,0.9466788716004573,-0.4884931582236042,0.8326000612191217,0.10066225165562914,771647.5080490425,ATRpct5_min,0.06
54,0.7222222222222222,2.9345369955574157,0.052604432396170527,0.06887532466789514,7.687107521449004,0.43483239407168983,0.9909231746501828,-0.4884931582236042,0.8901504284173587,0.09801324503311258,868710.7521449004,ATRpct5_min,0.07
48,0.7291666666666666,3.2920750243840273,0.05978221257358159,0.07415207478837949,8.104928407007552,0.44613351926464695,1.0160628015767996,-0.4884931582236042,0.9132850926449058,0.08609271523178808,910492.8407007552,ATRpct5_min,0.08
39,0.7435897435897436,3.2714385341705015,0.06757954889089406,0.09492187870788582,6.2751517055089225,0.392951189595228,0.9526000712833154,-0.508839588771357,0.7722496406854803,0.07086092715231788,727515.1705508922,ATRpct5_min,0.1
26,0.6923076923076923,2.573038515158661,0.05518402752815487,0.042072603285100874,1.981082739641554,0.2001209525839942,0.6482779482936326,-0.5262210852658766,0.38029824001233586,0.04370860927152318,298108.2739641554,ATRpct5_min,0.12
2,0.5,0.2664762463370696,-0.025635701454457982,-0.025635701454457982,-0.052573311640534914,-0.008978920173087324,-0.10745997426135315,-0.1448387547434017,-0.06199252533615399,0.0033112582781456954,94742.6688359465,ATRpct5_max,0.04
9,0.7777777777777778,2.9532650158676006,0.015477243260750641,0.018625996667971156,0.1404007509668872,0.022184166437451136,0.3027883338641635,-0.1448387547434017,0.15316457585369958,0.015894039735099338,114040.07509668871,ATRpct5_max,0.05
19,0.7894736842105263,2.3185428183295036,0.01917867052557715,0.02058472707225012,0.38803622039367625,0.05628789007237023,0.49015984928918493,-0.18081045320896272,0.311308826859243,0.031788079470198675,138803.62203936762,ATRpct5_max,0.06
21,0.7619047619047619,1.8075173904117938,0.014678405637332914,0.02058472707225012,0.302903657745085,0.045180884079029315,0.3425735705886457,-0.2112009353866997,0.21392369307600406,0.03708609271523179,130290.36577450851,ATRpct5_max,0.07
28,0.75,1.6900392780099727,0.014741227980856367,0.020541474038778262,0.4089637293135795,0.05893108828250493,0.39123792068366525,-0.23724137943825008,0.24840138942896214,0.05033112582781457,140896.37293135794,ATRpct5_max,0.08
36,0.6944444444444444,1.448397281499287,0.010356573950614643,0.019099218405585372,0.33202463643463687,0.049046508291916924,0.31944452758726305,-0.2759250186697131,0.17775303061817102,0.06622516556291391,133202.46364346368,ATRpct5_max,0.1
51,0.7254901960784313,2.1828328719773418,0.02748730315636916,0.03918601630273222,1.7414999413860475,0.18344544352873604,0.689931739839722,-0.2957360203089143,0.6203013191870104,0.09536423841059603,274149.9941386047,ATRpct5_max,0.12
61,0.7049180327868853,2.11944502840203,0.028530956682604258,0.02089066797642425,2.4683807334469305,0.23085347517565813,0.7240870103628464,-0.3668056669780314,0.6293618009709875,0.11324503311258279,346838.07334469305,ATRpct5_max,0.15
71,0.7183098591549296,2.56608440885869,0.04080870191112186,0.04212328048836844,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,887242.9658021608,ATRpct10_min,0.03
