dt,time,timestamp,price,open,high,low,close,volume,vwap
2026-08-31 12:55:00-04:00,2026-08-31T12:55:00,1788195300,112.11500000000001,112.0447,112.26,111.97,112.245,184075,112.148974
2026-08-31 13:00:00-04:00,2026-08-31T13:00:00,1788195600,112.08,112.2,112.21,111.95,112.0101,111179,112.063711
2026-08-31 13:05:00-04:00,2026-08-31T13:05:00,1788195900,112.06,112.07,112.2,111.92,112.015,366943,112.005809
2026-08-31 13:10:00-04:00,2026-08-31T13:10:00,1788196200,111.8475,112.005,112.015,111.68,111.685,134015,111.812997
2026-08-31 13:15:00-04:00,2026-08-31T13:15:00,1788196500,111.695,111.69,111.86,111.53,111.61,88205,111.664954
2026-08-31 13:20:00-04:00,2026-08-31T13:20:00,1788196800,111.59,111.5301,111.74,111.44,111.6599,80787,111.616117
2026-08-31 13:25:00-04:00,2026-08-31T13:25:00,1788197100,111.47749999999999,111.6399,111.645,111.31,111.36,111532,111.418271
2026-08-31 13:30:00-04:00,2026-08-31T13:30:00,1788197400,111.4475,111.365,111.59,111.305,111.305,101452,111.430574
2026-08-31 13:35:00-04:00,2026-08-31T13:35:00,1788197700,111.51490000000001,111.31,111.7198,111.31,111.7198,87248,111.562123
2026-08-31 13:40:00-04:00,2026-08-31T13:40:00,1788198000,111.855,111.69,112.04,111.67,111.9995,143325,111.882488
2026-08-31 13:45:00-04:00,2026-08-31T13:45:00,1788198300,111.995,112.0,112.09,111.9,111.92,133715,111.972578
2026-08-31 13:50:00-04:00,2026-08-31T13:50:00,1788198600,112.055,111.91,112.21,111.9,112.17,230131,112.124437
2026-08-31 13:55:00-04:00,2026-08-31T13:55:00,1788198900,111.9859,112.15,112.19,111.7818,111.9,128148,111.979792
2026-08-31 14:00:00-04:00,2026-08-31T14:00:00,1788199200,112.1275,111.91,112.405,111.85,112.398,164008,112.173157
2026-08-31 14:05:00-04:00,2026-08-31T14:05:00,1788199500,112.495,112.38,112.7,112.29,112.56,201097,112.542004
2026-08-31 14:10:00-04:00,2026-08-31T14:10:00,1788199800,112.505,112.56,112.6,112.41,112.4399,79020,112.484201
2026-08-31 14:15:00-04:00,2026-08-31T14:15:00,1788200100,112.5625,112.43,112.7,112.425,112.58,125335,112.584177
2026-08-31 14:20:00-04:00,2026-08-31T14:20:00,1788200400,112.64495,112.57,112.8399,112.45,112.805,136798,112.61671
2026-08-31 14:25:00-04:00,2026-08-31T14:25:00,1788200700,112.61,112.8,112.82,112.4,112.42,115460,112.61844
2026-08-31 14:30:00-04:00,2026-08-31T14:30:00,1788201000,112.3632,112.415,112.5263,112.2001,112.2353,135286,112.399078
2026-08-31 14:35:00-04:00,2026-08-31T14:35:00,1788201300,112.02815,112.27,112.3483,111.708,111.71,188748,111.981439
2026-08-31 14:40:00-04:00,2026-08-31T14:40:00,1788201600,111.575,111.71,111.75,111.4,111.64,268819,111.539958
2026-08-31 14:45:00-04:00,2026-08-31T14:45:00,1788201900,111.49945,111.6868,111.6868,111.3121,111.62,255577,111.472271
2026-08-31 14:50:00-04:00,2026-08-31T14:50:00,1788202200,111.57,111.605,111.7,111.44,111.615,162269,111.599086
2026-08-31 14:55:00-04:00,2026-08-31T14:55:00,1788202500,111.5,111.595,111.68,111.32,111.33,218518,111.560682
2026-08-31 15:00:00-04:00,2026-08-31T15:00:00,1788202800,111.48,111.34,111.62,111.34,111.3601,142751,111.454169
2026-08-31 15:05:00-04:00,2026-08-31T15:05:00,1788203100,111.375,111.3699,111.45,111.3,111.34,170729,111.362699
2026-08-31 15:10:00-04:00,2026-08-31T15:10:00,1788203400,111.47999999999999,111.33,111.63,111.33,111.58,158826,111.471169
2026-08-31 15:15:00-04:00,2026-08-31T15:15:00,1788203700,111.60245,111.58,111.7362,111.4687,111.67,167084,111.598412
2026-08-31 15:20:00-04:00,2026-08-31T15:20:00,1788204000,111.88,111.68,112.1,111.66,112.025,201443,111.867166
2026-08-31 15:25:00-04:00,2026-08-31T15:25:00,1788204300,112.09909999999999,112.02,112.31,111.8882,111.96,360522,112.079095
2026-08-31 15:30:00-04:00,2026-08-31T15:30:00,1788204600,112.0325,111.945,112.235,111.83,112.06,213900,111.984819
2026-08-31 15:35:00-04:00,2026-08-31T15:35:00,1788204900,112.16,112.05,112.32,112.0,112.3,155077,112.205398
2026-08-31 15:40:00-04:00,2026-08-31T15:40:00,1788205200,112.41,112.3199,112.55,112.27,112.48,381946,112.464748
2026-08-31 15:45:00-04:00,2026-08-31T15:45:00,1788205500,112.34,112.48,112.56,112.12,112.365,625939,112.420965
2026-08-31 15:50:00-04:00,2026-08-31T15:50:00,1788205800,112.66499999999999,112.39,112.94,112.39,112.64,1850418,112.786446
2026-08-31 15:55:00-04:00,2026-08-31T15:55:00,1788206100,112.75,112.62,113.11,112.39,112.845,2320580,112.826338
2026-09-01 09:30:00-04:00,2026-09-01T09:30:00,1788269400,105.87899999999999,106.355,106.57,105.188,105.4196,2064356,105.874619
2026-09-01 09:35:00-04:00,2026-09-01T09:35:00,1788269700,104.72005,105.4537,106.0,103.4401,104.08,2650173,104.550632
2026-09-01 09:40:00-04:00,2026-09-01T09:40:00,1788270000,103.305,104.08,104.3,102.31,103.28,2367559,103.075376
2026-09-01 09:45:00-04:00,2026-09-01T09:45:00,1788270300,103.58000000000001,103.32,104.15,103.01,104.07,1412700,103.565155
2026-09-01 09:50:00-04:00,2026-09-01T09:50:00,1788270600,104.055,104.07,104.47,103.64,104.255,1309228,104.119821
2026-09-01 09:55:00-04:00,2026-09-01T09:55:00,1788270900,103.95495,104.27,104.4599,103.45,103.525,883538,103.8525
2026-09-01 10:00:00-04:00,2026-09-01T10:00:00,1788271200,103.45505,103.59,104.0,102.9101,103.16,1013489,103.37569
2026-09-01 10:05:00-04:00,2026-09-01T10:05:00,1788271500,103.61245,103.165,104.0599,103.165,103.77,673172,103.73438
2026-09-01 10:10:00-04:00,2026-09-01T10:10:00,1788271800,103.15504999999999,103.785,103.85,102.4601,102.695,1140954,103.002882
2026-09-01 10:15:00-04:00,2026-09-01T10:15:00,1788272100,103.00195,102.68,103.4739,102.53,102.685,877279,102.916883
2026-09-01 10:20:00-04:00,2026-09-01T10:20:00,1788272400,103.01995,102.7,103.3999,102.64,102.74,639776,102.924719
2026-09-01 10:25:00-04:00,2026-09-01T10:25:00,1788272700,102.89,102.72,103.25,102.53,102.62,738134,102.845986
2026-09-01 10:30:00-04:00,2026-09-01T10:30:00,1788273000,103.1868,102.61,103.7836,102.59,103.715,971001,103.449362
2026-09-01 10:35:00-04:00,2026-09-01T10:35:00,1788273300,103.75505,103.715,104.02,103.4901,103.794,775436,103.836948
2026-09-01 10:40:00-04:00,2026-09-01T10:40:00,1788273600,104.22,103.8157,104.8,103.64,104.8,706244,104.228312
2026-09-01 10:45:00-04:00,2026-09-01T10:45:00,1788273900,105.17500000000001,104.8,105.7,104.65,105.2742,1358719,105.16578
2026-09-01 10:50:00-04:00,2026-09-01T10:50:00,1788274200,105.305,105.28,105.58,105.03,105.065,657997,105.306724
2026-09-01 10:55:00-04:00,2026-09-01T10:55:00,1788274500,105.47,105.09,105.92,105.02,105.9099,628509,105.354942
