wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-80,-30,5,-50,50,119,0.6974789915966386,2.3876484912769995,0.033297618822658366,0.05111633672833937,3.9495798319327733,22.83585963685792,0.6982857724017526,1.2058935696455453,-0.40065864732319667,1.7428446311267831,0.21324503311258278,2383585.963685792
2,-80,-30,5,-50,100,119,0.6974789915966386,2.3876484912769995,0.033297618822658366,0.05111633672833937,3.9495798319327733,22.83585963685792,0.6982857724017526,1.2058935696455453,-0.40065864732319667,1.7428446311267831,0.21324503311258278,2383585.963685792
2,-80,-40,3,-80,100,132,0.7348484848484849,2.3061727241890826,0.0292972482196007,0.04060718580579803,3.340909090909091,22.51181948363142,0.6944079062414825,1.2744064780400253,-0.4006586473231969,1.733165902897208,0.20264900662251656,2351181.948363142
2,-90,-40,3,-80,100,89,0.7415730337078652,2.584989962357075,0.037224742885810055,0.041969659090909106,3.5842696629213484,13.567999875043833,0.5642240516198711,1.209030337209915,-0.3257011937607832,1.7323364557093857,0.14834437086092717,1456799.9875043833
2,-80,-30,5,-120,0,65,0.7076923076923077,2.806681392255232,0.042607100559587184,0.059899424847525085,4.107692307692307,8.395124931513296,0.45373105962441307,1.0680900460794056,-0.26268373636794684,1.727290261277775,0.12317880794701987,939512.4931513296
2,-80,-30,5,-120,50,65,0.7076923076923077,2.806681392255232,0.042607100559587184,0.059899424847525085,4.107692307692307,8.395124931513296,0.45373105962441307,1.0680900460794056,-0.26268373636794684,1.727290261277775,0.12317880794701987,939512.4931513296
2,-80,-30,5,-120,100,65,0.7076923076923077,2.806681392255232,0.042607100559587184,0.059899424847525085,4.107692307692307,8.395124931513296,0.45373105962441307,1.0680900460794056,-0.26268373636794684,1.727290261277775,0.12317880794701987,939512.4931513296
2,-90,-30,5,-50,-50,83,0.7469879518072289,2.7236200200142453,0.04080425628494316,0.04907052529182865,3.63855421686747,13.420217795863902,0.5615626850223605,1.1679630170910276,-0.3257011937607832,1.7241652649109103,0.1403973509933775,1442021.7795863901
2,-85,-40,3,-80,100,110,0.7181818181818181,2.2464351235399342,0.030549581771285278,0.036108467628164664,3.5454545454545454,13.404844890225867,0.5612845357550322,1.1620908145466002,-0.3257011937607833,1.7233112635358563,0.17748344370860927,1440484.4890225867
2,-85,-30,3,-80,0,108,0.7222222222222222,2.2484969055738984,0.03145852319315628,0.04220292672983239,3.8055555555555554,13.377589815794444,0.5607907883924514,1.1279336903306332,-0.3257011937607833,1.7217953115773152,0.18609271523178808,1437758.9815794444
