trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,family,param,period
64,0.734375,2.908746703866168,0.04709910046680002,9.183792459640882,0.47343360712646687,1.0343370698094023,-0.4884931582236042,0.9691714185887453,0.11456953642384106,QQQ_ret1_down,-0.005,IS
57,0.7543859649122807,2.9500318610852796,0.05042110207594858,9.817113065142491,0.4883549918243728,1.0619405112710185,-0.4884931582236043,0.9997171579644352,0.09933774834437085,QQQ_ret1_down,-0.01,IS
40,0.75,2.565706404185306,0.0479966978578942,3.5807600586117294,0.2893858987660427,0.7806915275899824,-0.514310305046122,0.5626678989838466,0.07549668874172186,QQQ_ret1_down,-0.02,IS
25,0.8,3.977572878588213,0.06501433882232188,2.9650082216388656,0.2586718165960087,0.7951740740866767,-0.508839588771357,0.5083563117024701,0.04437086092715232,QQQ_ret1_down,-0.03,IS
4,0.5,1.5593336313654391,0.04130884383424116,0.0800753109258645,0.012947986988692817,0.18048166469252774,-0.45911426095451247,0.02820210150251826,0.005960264900662252,QQQ_ret1_down,-0.05,IS
50,0.74,2.2323608071820007,0.03720251808390192,2.670792815239249,0.24256844845417946,0.7038991073250077,-0.4884931582236043,0.4965646793012922,0.09536423841059603,QQQ_ret5_down,-0.01,IS
41,0.7073170731707317,1.899445303057357,0.03165661139782959,1.1684256112632072,0.13799240589995,0.5141970416501004,-0.5356556306651838,0.2576140303586267,0.07947019867549669,QQQ_ret5_down,-0.02,IS
32,0.71875,2.057261413846711,0.03499376754918683,0.9536669471703298,0.11834250408844338,0.4765811150584672,-0.536979954377924,0.22038532932861488,0.06026490066225165,QQQ_ret5_down,-0.03,IS
22,0.6818181818181818,2.083950875740494,0.03934941674471536,0.9369768418502387,0.11674119403942229,0.4844759430812836,-0.5369799543779239,0.21740326261277979,0.038410596026490065,QQQ_ret5_down,-0.05,IS
9,0.6666666666666666,2.024780503241696,0.03982476190458796,0.29576984246885574,0.04422295130669629,0.2975891144799436,-0.45911426095451235,0.09632232119027503,0.011920529801324504,QQQ_ret5_down,-0.08,IS
5,0.4,1.3170622457108312,0.022178867696999414,0.021382898651941762,0.0035397545157145327,0.14457659736093345,-0.45911426095451247,0.007709964200099722,0.00728476821192053,QQQ_ret5_down,-0.1,IS
62,0.6935483870967742,2.4067625335841103,0.04194617844190489,5.647876785160583,0.37213219375858086,0.8868240242447203,-0.4884931582236042,0.7617961224100503,0.11456953642384106,QQQ_ATRpct_min,0.01,IS
46,0.6739130434782609,2.329920919084458,0.04493158341411502,3.1056290010096106,0.266019223352558,0.7292547542589409,-0.5176785075309629,0.5138695531736889,0.09006622516556291,QQQ_ATRpct_min,0.015,IS
36,0.6944444444444444,2.7125201419659,0.0576289470917947,3.2249539780717393,0.2720912939257536,0.7641106605178857,-0.45911426095451235,0.5926439604817929,0.06556291390728476,QQQ_ATRpct_min,0.02,IS
22,0.8181818181818182,4.09994192150859,0.08339527371757573,3.54319342254324,0.2876138427443822,0.8421270287936246,-0.46760784995864135,0.6150748811633955,0.03443708609271523,QQQ_ATRpct_min,0.025,IS
14,0.7857142857142857,3.015391710353242,0.07739923848156358,1.2835918837832923,0.1478700684511749,0.5744728722989497,-0.45911426095451224,0.32207683582676916,0.02185430463576159,QQQ_ATRpct_min,0.03,IS
4,0.5,2.443464501743578,0.10660515717110258,0.3031610917538161,0.04521537071074677,0.2984694319417472,-0.45911426095451235,0.09848391687233295,0.00728476821192053,QQQ_ATRpct_min,0.04,IS
