cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
7,-100,50,54,0.7407407407407407,3.008586473584722,0.05277703720233285,0.06811213972357477,4.018518518518518,8.65987612360476,0.460493767240886,1.0532284656681532,-0.3257011937607833,1.4138534830765874,0.1,965987.612360476
7,-100,100,54,0.7407407407407407,3.008586473584722,0.05277703720233285,0.06811213972357477,4.018518518518518,8.65987612360476,0.460493767240886,1.0532284656681532,-0.3257011937607833,1.4138534830765874,0.1,965987.612360476
7,-100,150,54,0.7407407407407407,3.008586473584722,0.05277703720233285,0.06811213972357477,4.018518518518518,8.65987612360476,0.460493767240886,1.0532284656681532,-0.3257011937607833,1.4138534830765874,0.1,965987.612360476
14,-80,0,57,0.7368421052631579,3.213444947125757,0.0442452375198859,0.05111633672833937,3.9649122807017543,6.484353326766898,0.3995620534036335,0.9905772286696308,-0.2833469063293014,1.4101514591419915,0.10463576158940398,748435.3326766897
14,-80,50,57,0.7368421052631579,3.213444947125757,0.0442452375198859,0.05111633672833937,3.9649122807017543,6.484353326766898,0.3995620534036335,0.9905772286696308,-0.2833469063293014,1.4101514591419915,0.10463576158940398,748435.3326766897
14,-80,100,57,0.7368421052631579,3.213444947125757,0.0442452375198859,0.05111633672833937,3.9649122807017543,6.484353326766898,0.3995620534036335,0.9905772286696308,-0.2833469063293014,1.4101514591419915,0.10463576158940398,748435.3326766897
14,-80,150,57,0.7368421052631579,3.213444947125757,0.0442452375198859,0.05111633672833937,3.9649122807017543,6.484353326766898,0.3995620534036335,0.9905772286696308,-0.2833469063293014,1.4101514591419915,0.10463576158940398,748435.3326766897
20,-150,0,28,0.8928571428571429,12.27331378058315,0.08015525418549078,0.06987023828139727,3.2142857142857144,5.895659553842296,0.38054387259942035,1.163893265903752,-0.2708927300702729,1.4047769849737295,0.046357615894039736,689565.9553842295
20,-150,50,28,0.8928571428571429,12.27331378058315,0.08015525418549078,0.06987023828139727,3.2142857142857144,5.895659553842296,0.38054387259942035,1.163893265903752,-0.2708927300702729,1.4047769849737295,0.046357615894039736,689565.9553842295
20,-150,100,28,0.8928571428571429,12.27331378058315,0.08015525418549078,0.06987023828139727,3.2142857142857144,5.895659553842296,0.38054387259942035,1.163893265903752,-0.2708927300702729,1.4047769849737295,0.046357615894039736,689565.9553842295
20,-150,150,28,0.8928571428571429,12.27331378058315,0.08015525418549078,0.06987023828139727,3.2142857142857144,5.895659553842296,0.38054387259942035,1.163893265903752,-0.2708927300702729,1.4047769849737295,0.046357615894039736,689565.9553842295
5,-120,0,43,0.7209302325581395,3.295902551548101,0.0570783070232811,0.07157641843870399,4.069767441860465,6.136988509239459,0.3884978135375621,1.041149361887036,-0.2770751982438744,1.4021385385624316,0.08278145695364239,713698.8509239459
5,-120,50,43,0.7209302325581395,3.295902551548101,0.0570783070232811,0.07157641843870399,4.069767441860465,6.136988509239459,0.3884978135375621,1.041149361887036,-0.2770751982438744,1.4021385385624316,0.08278145695364239,713698.8509239459
5,-120,100,43,0.7209302325581395,3.295902551548101,0.0570783070232811,0.07157641843870399,4.069767441860465,6.136988509239459,0.3884978135375621,1.041149361887036,-0.2770751982438744,1.4021385385624316,0.08278145695364239,713698.8509239459
5,-120,150,43,0.7209302325581395,3.295902551548101,0.0570783070232811,0.07157641843870399,4.069767441860465,6.136988509239459,0.3884978135375621,1.041149361887036,-0.2770751982438744,1.4021385385624316,0.08278145695364239,713698.8509239459
20,-100,0,47,0.7446808510638298,4.214537483169261,0.05585095598547443,0.06289308176100628,3.6595744680851063,7.506696539833046,0.4298122210680171,1.07940848121187,-0.3235447019136114,1.3284477184323662,0.08211920529801324,850669.6539833046
20,-100,50,47,0.7446808510638298,4.214537483169261,0.05585095598547443,0.06289308176100628,3.6595744680851063,7.506696539833046,0.4298122210680171,1.07940848121187,-0.3235447019136114,1.3284477184323662,0.08211920529801324,850669.6539833046
20,-100,100,47,0.7446808510638298,4.214537483169261,0.05585095598547443,0.06289308176100628,3.6595744680851063,7.506696539833046,0.4298122210680171,1.07940848121187,-0.3235447019136114,1.3284477184323662,0.08211920529801324,850669.6539833046
20,-100,150,47,0.7446808510638298,4.214537483169261,0.05585095598547443,0.06289308176100628,3.6595744680851063,7.506696539833046,0.4298122210680171,1.07940848121187,-0.3235447019136114,1.3284477184323662,0.08211920529801324,850669.6539833046
10,-150,0,28,0.8214285714285714,4.422656215972997,0.060272658720029085,0.07157484621457566,3.607142857142857,3.5914505929242937,0.28988796900922886,0.9888860627759478,-0.22116798633484092,1.3107139682067195,0.0456953642384106,459145.05929242936
10,-150,50,28,0.8214285714285714,4.422656215972997,0.060272658720029085,0.07157484621457566,3.607142857142857,3.5914505929242937,0.28988796900922886,0.9888860627759478,-0.22116798633484092,1.3107139682067195,0.0456953642384106,459145.05929242936
10,-150,100,28,0.8214285714285714,4.422656215972997,0.060272658720029085,0.07157484621457566,3.607142857142857,3.5914505929242937,0.28988796900922886,0.9888860627759478,-0.22116798633484092,1.3107139682067195,0.0456953642384106,459145.05929242936
10,-150,150,28,0.8214285714285714,4.422656215972997,0.060272658720029085,0.07157484621457566,3.607142857142857,3.5914505929242937,0.28988796900922886,0.9888860627759478,-0.22116798633484092,1.3107139682067195,0.0456953642384106,459145.05929242936
10,-100,0,51,0.7647058823529411,2.9184204201520934,0.048047435439471646,0.06289308176100628,3.8627450980392157,6.150570807307066,0.38893877530001064,0.9884763666493462,-0.29676272209763677,1.3106052288199708,0.09337748344370861,715057.0807307066
10,-100,50,51,0.7647058823529411,2.9184204201520934,0.048047435439471646,0.06289308176100628,3.8627450980392157,6.150570807307066,0.38893877530001064,0.9884763666493462,-0.29676272209763677,1.3106052288199708,0.09337748344370861,715057.0807307066
