date,equity
2019-01-17,211074.41949947114
2019-01-18,216869.18736493363
2019-01-22,204893.33377631116
2019-01-23,205086.4927051599
2019-01-24,208708.22262107395
2019-01-25,216144.84138175083
2019-01-28,208177.03556673988
2019-01-29,202285.68823685302
2019-01-30,217448.66415147987
2019-01-31,227010.03112949297
2019-02-01,224112.64719676174
2019-02-04,232321.9016728336
2019-02-05,238454.6976637814
2019-02-06,236571.3981075061
2019-02-07,226913.4516650686
2019-02-08,228072.4052381611
2019-02-11,227541.21818382703
2019-02-12,237392.32355511328
2019-02-13,237875.22087723514
2019-02-14,238744.43605705453
2019-02-15,241593.53025757358
2019-02-19,243042.2222239392
2019-02-20,242849.06329509045
2019-02-21,240096.54855899577
2019-02-22,245311.839637912
2019-02-25,248016.0646417945
2019-02-26,248788.7003571895
2019-02-27,248016.0646417945
2019-02-28,246470.7932110045
2019-03-01,251396.34589664763
2019-03-04,251444.6356288598
2019-03-05,252072.40214761824
2019-03-06,247726.32624852136
2019-03-07,238696.14632484232
2019-03-08,237344.03382290108
2019-03-11,252168.9816120426
2019-03-12,256273.60885007854
2019-03-13,261826.9280544801
2019-03-14,260667.9744813876
2019-03-15,267138.7985978207
2019-03-18,269553.2852084301
2019-03-19,272257.51021231257
2019-03-20,275299.7633416804
2019-03-21,288048.25264569785
2019-03-22,269215.2570829448
2019-03-25,267525.11645551823
2019-03-26,271195.13610364444
2019-03-27,265883.2655603038
2019-03-28,267573.4061877304
2019-03-29,273609.62271425384
2019-04-01,284378.23299757164
2019-04-02,287517.0655913638
2019-04-03,292490.9080092191
2019-04-04,292056.3004193094
2019-04-05,296450.66605061846
2019-04-08,298768.57319680345
2019-04-09,295484.87140637473
2019-04-10,300265.55489538127
2019-04-11,297995.9374814085
2019-04-12,301665.9571295347
2019-04-15,301907.4057905956
2019-04-16,304853.07945553906
2019-04-17,307895.3325849069
2019-04-18,308861.1272291506
2019-04-22,311468.77276860876
2019-04-23,323299.7571605947
2019-04-24,320160.9245668025
2019-04-25,323734.3647505044
2019-04-26,324893.31832359685
2019-04-29,326631.7486832356
2019-04-30,319146.8401903465
2019-05-01,315476.8205422203
2019-05-02,311613.6419652453
2019-05-03,326293.72055775026
2019-05-06,320450.6629600756
2019-05-07,301810.8263261713
2019-05-08,299154.89105450094
2019-05-09,294422.4972977066
2019-05-10,295243.4227453138
2019-05-13,264724.31198721135
2019-05-14,273030.14592770755
2019-05-15,284378.23299757164
2019-05-16,293263.5437246141
2019-05-17,284136.7843365107
2019-05-20,269891.3133339154
2019-05-21,278003.9883455629
2019-05-22,274382.2584296488
2019-05-23,261440.6101967826
2019-05-24,261054.2923390851
2019-05-28,258253.48787077822
2019-05-29,251782.66375434512
2019-05-30,254776.62715150072
2019-05-31,242511.03516960514
2019-06-03,227010.03112949297
2019-06-04,245408.4191023364
2019-06-05,250816.86911010137
2019-06-06,256611.63697556386
2019-06-07,271243.42583585664
2019-06-10,281142.82093935506
2019-06-11,282205.1950480232
2019-06-12,277424.51155901665
2019-06-13,281963.74638696224
2019-06-14,278293.726738836
2019-06-17,283364.14862111566
2019-06-18,295629.7406030113
2019-06-19,299106.6013222888
2019-06-20,307315.85579836066
2019-06-21,305915.4535642072
2019-06-24,305818.87409978284
2019-06-25,290173.0008630341
2019-06-26,293843.0205111604
2019-06-27,297030.1428371647
2019-06-28,298285.67587468156
2019-07-01,310164.9499988797
2019-07-02,313931.54911143036
2019-07-03,320885.2705499853
2019-07-05,318808.81206486124
2019-07-08,312096.5392873672
2019-07-09,316780.64331194933
2019-07-10,326148.8513611138
2019-07-11,325279.63618129434
2019-07-12,330736.37592127145
2019-07-15,333537.18038957834
2019-07-16,328804.786632784
2019-07-17,323927.5236793531
2019-07-18,325327.92591350654
2019-07-19,317456.69956291997
2019-07-22,324941.6080558091
2019-07-23,331219.2732433934
2019-07-24,338269.57414637273
2019-07-25,328611.62770393526
2019-07-26,338366.1536107971
2019-07-29,335227.32101700496
2019-07-30,330736.37592127145
2019-07-31,316780.64331194933
2019-08-01,312337.98794842814
2019-08-02,298044.2272136207
2019-08-05,266752.4807401232
2019-08-06,277714.24995228974
2019-08-07,281770.5874581135
2019-08-08,300410.4240920178
2019-08-09,291525.1133649754
2019-08-12,281770.5874581135
2019-08-13,300265.55489538127
2019-08-14,273368.1740531929
2019-08-15,272209.22048010037
2019-08-16,284764.55085526913
2019-08-19,298092.5169458328
2019-08-20,291959.72095488507
2019-08-21,299396.3397155619
2019-08-22,296498.95578283066
2019-08-23,269360.12627958134
2019-08-26,280273.6057595357
2019-08-27,278583.4651321091
2019-08-28,281384.269600416
2019-08-29,294181.04863664566
2019-08-30,292104.5901515216
2019-09-03,283605.5972821766
2019-09-04,295533.16113858693
2019-09-05,311855.09062630625
2019-09-06,310985.8754464869
2019-09-09,309005.9964257872
2019-09-10,306446.6406185413
2019-09-11,314704.1848268253
2019-09-12,318615.6531360125
2019-09-13,315235.3718811594
2019-09-16,310889.2959820625
2019-09-17,314993.9232200984
2019-09-18,314800.7642912497
2019-09-19,316201.1665254031
2019-09-20,306253.48168969253
2019-09-23,306543.2200829656
2019-09-24,294422.4972977066
2019-09-25,303838.99507908314
2019-09-26,300796.74194971536
2019-09-27,289883.26246976096
2019-09-30,297609.619623711
2019-10-01,290414.44952409505
2019-10-02,275541.21200274135
2019-10-03,284619.68165863253
2019-10-04,296595.53524725506
2019-10-07,293843.0205111604
2019-10-08,280466.7646883844
2019-10-09,288965.75755772943
2019-10-10,295291.712477526
2019-10-11,306350.0611541169
2019-10-14,306688.0892796022
2019-10-15,318325.91474273935
2019-10-16,315959.7178643422
2019-10-17,318132.7558138906
2019-10-18,309005.9964257872
2019-10-21,317166.96116964694
2019-10-22,309826.9218733944
2019-10-23,311275.61383975996
2019-10-24,320209.21429901465
2019-10-25,327500.96386305493
2019-10-28,337496.93843097775
2019-10-29,329722.2915448156
2019-10-30,334358.1058371855
2019-10-31,334599.5544982466
2019-11-01,343678.02415413776
2019-11-04,349810.82014508557
2019-11-05,350245.42773499526
2019-11-06,348024.10005323455
2019-11-07,351549.2505047243
2019-11-08,355702.16747497243
2019-11-11,354205.18577639456
2019-11-12,357102.56970912585
2019-11-13,356571.38265479176
2019-11-14,356474.80319036735
2019-11-15,363187.0759678614
2019-11-18,365070.3755241367
2019-11-19,366567.3572227146
2019-11-20,360144.8228384937
2019-11-21,357344.0183701868
2019-11-22,358309.8130144305
2019-11-25,370720.2741929627
2019-11-26,372941.60187472333
2019-11-27,380474.8000998246
2019-11-29,375404.3782175448
2019-12-02,363331.945164498
2019-12-03,355170.98042063834
2019-12-04,360434.56123176677
2019-12-05,362317.8607880421
2019-12-06,373521.0786612695
2019-12-09,368933.55410111183
2019-12-10,368112.6286535046
2019-12-11,373665.9478579061
2019-12-12,382213.2304594633
2019-12-13,385641.8014465286
2019-12-16,396700.1501231196
2019-12-17,397231.3371774536
2019-12-18,398148.84208948514
2019-12-19,406261.5171011326
2019-12-20,411090.49032235134
2019-12-23,414132.7434517192
2019-12-24,414519.06130941666
2019-12-26,425287.67159273446
2019-12-27,424032.1385552176
2019-12-30,415581.4354180848
2019-12-31,417947.632296482
2020-01-02,438663.92741551035
2020-01-03,426736.3635591001
2020-01-06,434849.0385707476
2020-01-07,434317.8515164135
2020-01-08,444313.8260843363
2020-01-09,455517.04395756376
2020-01-10,451798.73457722535
2020-01-13,467589.47701061063
2020-01-14,462132.73727063346
2020-01-15,462422.47566390655
2020-01-16,475315.8341645606
2020-01-17,482414.42479975213
2020-01-21,482172.97613869124
2020-01-22,485456.67792911996
2020-01-23,489947.6230248534
2020-01-24,477247.4234530481
2020-01-27,447742.3970714016
2020-01-28,468555.27165485435
2020-01-29,470245.4122822809
2020-01-30,475557.28282562154
2020-01-31,452185.05243492284
2020-02-03,472949.6372861634
2020-02-04,505255.4681361168
2020-02-05,511098.52573379147
2020-02-06,523557.2766445358
2020-02-07,516796.7141348296
2020-02-10,535436.550768734
2020-02-11,535822.8686264314
2020-02-12,551517.0315953924
2020-02-13,549392.2833780561
2020-02-14,553110.5927583945
2020-02-18,554076.3874026382
2020-02-19,570108.5784970844
2020-02-20,553883.2284737895
2020-02-21,522205.16414259456
2020-02-24,462036.15780620906
2020-02-25,424659.905073976
2020-02-26,430502.9626716507
2020-02-27,366132.74963280483
2020-02-28,371830.938033843
2020-03-02,422583.446588852
2020-03-03,382792.70724600955
2020-03-04,429247.4296341338
2020-03-05,391581.43850862765
2020-03-06,371058.302318448
2020-03-09,295678.0303352235
2020-03-10,341698.1451334381
2020-03-11,297754.4888203475
2020-03-12,216144.84138175083
2020-03-13,274478.8378940732
2020-03-16,179879.25249039807
2020-03-17,209191.11994319584
2020-03-18,189826.9373261087
2020-03-19,194221.30295741773
2020-03-20,171476.83908547746
2020-03-23,172008.0261398115
2020-03-24,210350.07351628834
2020-03-25,205472.8105628574
2020-03-26,238937.59498590327
2020-03-27,214116.67262883895
2020-03-30,236619.68783971827
2020-03-31,230052.28425886077
2020-04-01,201513.052521458
2020-04-02,213440.6163778683
2020-04-03,204845.04404409896
2020-04-06,247726.32624852136
2020-04-07,247243.4289263995
2020-04-08,263034.1713597848
2020-04-09,263999.9660040285
2020-04-13,273175.01512434415
2020-04-14,308619.6785680897
2020-04-15,298382.25533910596
2020-04-16,314366.15670133993
2020-04-17,322237.38305192656
2020-04-20,311806.800894094
2020-04-21,277327.93209459225
2020-04-22,301859.1160583834
2020-04-23,299879.2370376838
2020-04-24,314366.15670133993
2020-04-27,320498.9526922878
2020-04-28,303162.9388281125
2020-04-29,334696.13396267087
2020-04-30,336917.4616444315
2020-05-01,306688.0892796022
2020-05-04,317504.98929513217
2020-05-05,327645.8330596915
2020-05-06,334116.65717612463
2020-05-07,347154.8848734152
2020-05-08,361158.9072149496
2020-05-11,370140.7974064165
2020-05-12,348120.679517659
2020-05-13,334937.5826237318
2020-05-14,346044.22103253496
2020-05-15,351983.85809463396
2020-05-18,372362.12508817704
2020-05-19,369513.030887658
2020-05-20,391146.83091871795
2020-05-21,379122.68759788334
2020-05-22,382551.2585849486
2020-05-26,380957.69742194645
2020-05-27,386317.8576974992
2020-05-28,383855.0813546776
2020-05-29,399694.11352027516
2020-06-01,404619.6662059183
2020-06-02,412684.05148535356
2020-06-03,418285.6604219673
2020-06-04,409786.6675526223
2020-06-05,434076.40285535256
2020-06-08,443734.34929779003
2020-06-09,453633.74440128845
2020-06-10,470003.96362121997
2020-06-11,400804.77736115543
2020-06-12,409496.9291593492
2020-06-15,423935.5590907932
2020-06-16,446341.9948372482
2020-06-17,450688.070736345
2020-06-18,454164.93145562254
2020-06-19,453537.1649368641
2020-06-22,469665.9354957347
2020-06-23,481931.5274776303
2020-06-24,453537.1649368641
2020-06-25,465561.3082576988
2020-06-26,432096.5238346529
2020-06-29,445907.3872473385
2020-06-30,471549.23505201
2020-07-01,488402.3515940634
2020-07-02,498784.6440196837
2020-07-06,535436.550768734
2020-07-07,524909.3891464771
2020-07-08,545094.4972111714
2020-07-09,558712.2016950082
2020-07-10,570543.1860869941
2020-07-13,535291.6815720974
2020-07-14,546639.7686419614
2020-07-15,549343.9936458439
2020-07-16,537561.2989860702
2020-07-17,540072.365061104
2020-07-20,586044.1901271063
2020-07-21,567307.7740287776
2020-07-22,573875.177609635
2020-07-23,528917.4369200886
2020-07-24,513271.5636833399
2020-07-27,540845.0007764989
2020-07-28,520515.023515168
2020-07-29,538237.3552370408
2020-07-30,546977.7967674467
2020-07-31,576482.8231490932
2020-08-03,597971.7539835166
2020-08-04,605746.4008696788
2020-08-05,610575.3740908975
2020-08-06,633947.6044815963
2020-08-07,613231.3093625678
2020-08-10,604973.7651542838
2020-08-11,570639.7655514185
2020-08-12,613327.8888269922
2020-08-13,617625.6749938768
2020-08-14,615838.954902026
2020-08-17,636168.9321633568
2020-08-18,654857.0585294735
2020-08-19,642060.2794932437
2020-08-20,668474.7630133103
2020-08-21,682430.4956226323
2020-08-24,695082.4054622254
2020-08-25,711307.7554855206
2020-08-26,756844.9729616131
2020-08-27,749987.8309874826
2020-08-28,761577.3667184075
2020-08-31,779203.118975856
2020-09-01,819669.9145696689
2020-09-02,842800.6962993067
2020-09-03,713384.2139706444
2020-09-04,683975.7670534223
2020-09-08,587299.7231646233
2020-09-09,637762.4933263591
2020-09-10,600869.1379162478
2020-09-11,587734.3307545328
2020-09-14,618011.9928515744
2020-09-15,644281.6071750042
2020-09-16,613327.8888269922
2020-09-17,585078.3954828626
2020-09-18,562478.8008075588
2020-09-21,569142.7838528408
2020-09-22,600241.3713974894
2020-09-23,544659.8896212617
2020-09-24,552627.6954362727
2020-09-25,591356.060670447
2020-09-28,626414.406256495
2020-09-29,619847.0026756376
2020-09-30,632112.5946575331
2020-10-01,661714.200503604
2020-10-02,607146.8031038322
2020-10-05,645440.5607480968
2020-10-06,610768.5330197463
2020-10-07,642881.2049408508
2020-10-08,652345.9924544396
2020-10-09,681368.1215139643
2020-10-12,744917.4091052029
2020-10-13,745013.9885696273
2020-10-14,726615.6005967838
2020-10-15,711597.4938787937
2020-10-16,700684.0143988392
2020-10-19,665867.117473852
2020-10-20,670164.9036407368
2020-10-21,668426.473281098
2020-10-22,668764.5014065834
2020-10-23,672675.9697157706
2020-10-26,642011.9897610315
2020-10-27,657174.9656756583
2020-10-28,580056.2633327951
2020-10-29,609561.2897144416
2020-10-30,567162.904832141
2020-11-02,567356.0637609898
2020-11-03,595895.2954983925
2020-11-04,676442.5688283212
2020-11-05,728643.7693496956
2020-11-06,731106.5456925173
2020-11-09,686486.8331284561
2020-11-10,649448.6085217084
2020-11-11,693102.5264415258
2020-11-12,682961.6826769664
2020-11-13,700877.1733276879
2020-11-16,717005.9438865585
2020-11-17,710390.250573489
2020-11-18,693923.4518891328
2020-11-19,711114.5965566717
2020-11-20,696675.9666252277
2020-11-23,696820.8358218643
2020-11-24,725311.7778270547
2020-11-25,738977.7720431038
2020-11-27,759162.8801077981
2020-11-30,763074.3484169855
2020-12-01,793062.2721207537
2020-12-02,796249.394446758
2020-12-03,799484.8065049746
2020-12-04,809287.6221440487
2020-12-07,823001.9060923099
2020-12-08,830535.1043174112
2020-12-09,774905.3328089713
2020-12-10,784418.4100547722
2020-12-11,778913.3805825829
2020-12-14,795525.0484635753
2020-12-15,820249.3913562152
2020-12-16,834011.9650366886
2020-12-17,851106.530239803
2020-12-18,841834.901655063
2020-12-21,838696.0690612708
2020-12-22,845311.7623743404
2020-12-23,832563.273070323
2020-12-24,843380.173085853
2020-12-28,868683.9927650392
2020-12-29,871243.3485722851
2020-12-30,871098.4793756485
2020-12-31,877907.331617567
2021-01-04,839516.994508878
2021-01-05,860571.3177533917
2021-01-06,824981.7851130096
2021-01-07,884571.3146628488
2021-01-08,918857.024533502
2021-01-11,878245.3597430523
2021-01-12,874430.4708982895
2021-01-13,891428.4566369795
2021-01-14,877859.0418853548
2021-01-15,856514.980247568
2021-01-19,893649.7843187401
2021-01-20,955943.5388724619
2021-01-21,979702.087120858
2021-01-22,970816.7763938155
2021-01-25,997762.4469682161
2021-01-26,998824.8210768843
2021-01-27,918277.5477469556
2021-01-28,931798.6727663681
2021-01-29,873754.4146473189
2021-02-01,937979.7584895281
2021-02-02,983372.1067689842
2021-02-03,972072.3094313324
2021-02-04,1006454.5987664099
2021-02-05,1016981.7603886668
2021-02-08,1036877.1300600879
2021-02-09,1036394.232737966
2021-02-10,1029054.1934417136
2021-02-11,1045665.861322706
2021-02-12,1063436.482776791
2021-02-16,1054551.1720497485
2021-02-17,1039871.0934572435
2021-02-18,1025867.0711157091
2021-02-19,1012345.9460962968
2021-02-22,933923.4209837044
2021-02-23,925617.5870432082
2021-02-24,947927.4433252388
2021-02-25,848933.4922902546
2021-02-26,861681.9815942721
2021-03-01,936820.8049164356
2021-03-02,891911.3539591014
2021-03-03,814551.2029551772
2021-03-04,774277.5662902128
2021-03-05,808949.5940185635
2021-03-08,739798.6974907109
2021-03-09,826913.3744014971
2021-03-10,819863.0734985177
2021-03-11,876748.3780444745
2021-03-12,854921.4190845658
2021-03-15,882253.4075166639
2021-03-16,896740.32718032
2021-03-17,908040.1245179719
2021-03-18,824692.0467197364
2021-03-19,835219.2083419933
2021-03-22,879742.3414416302
2021-03-23,868249.3851751295
2021-03-24,824402.3083264633
2021-03-25,819959.6529629421
2021-03-26,856176.9521220827
2021-03-29,855694.0547999608
2021-03-30,843525.0422824896
2021-03-31,881384.1923368445
2021-04-01,926197.0638297544
2021-04-05,981826.8353381943
2021-04-06,979508.9281920093
2021-04-07,986752.3880238374
2021-04-08,1017561.2371752129
2021-04-09,1036007.9148802685
2021-04-12,1031951.5773744448
2021-04-13,1067299.661353766
2021-04-14,1029826.8291571086
2021-04-15,1075315.756900989
2021-04-16,1079854.9917289347
2021-04-19,1050398.2550795004
2021-04-20,1027412.3425464992
2021-04-21,1053392.2184766561
2021-04-22,1015050.1711001792
2021-04-23,1053295.6390122317
2021-04-26,1074156.8033278966
2021-04-27,1060056.201521938
2021-04-28,1049142.7220419836
2021-04-29,1059669.8836642404
2021-04-30,1039774.5139928191
2021-05-03,1022776.5282541292
2021-05-04,968885.1871053281
2021-05-05,957585.3897676762
2021-05-06,978543.1335477656
2021-05-07,1002494.8407250105
2021-05-10,927162.8584739981
2021-05-11,922527.0441816282
2021-05-12,852313.7735451077
2021-05-13,870277.5539280414
2021-05-14,926873.120080725
2021-05-17,911227.2468439763
2021-05-18,892104.51288795
2021-05-19,895388.2146783788
2021-05-20,947154.8076098437
2021-05-21,931508.934373095
2021-05-24,978156.8156900681
2021-05-25,982889.2094468625
2021-05-26,992836.894282573
2021-05-27,981247.358551648
2021-05-28,990808.7255296612
2021-06-01,981150.7790872237
2021-06-02,986269.4907017156
2021-06-03,955267.4826214912
2021-06-04,1004233.2710846493
2021-06-07,1013118.5818116918
2021-06-08,1014277.5353847842
2021-06-09,1015436.4889578767
2021-06-10,1046535.0765025254
2021-06-11,1054840.9104430217
2021-06-14,1084394.2265568804
2021-06-15,1064305.6979566105
2021-06-16,1052909.3211545341
2021-06-17,1092217.1631752546
2021-06-18,1066140.7077806734
2021-06-21,1085649.7595943972
2021-06-22,1115975.7114236508
2021-06-23,1117907.3007121384
2021-06-24,1138478.7266345301
2021-06-25,1134905.2864508284
