symbol,strategy,partition,cost_bps_per_side,total_return,cagr,sharpe,max_drawdown,calmar,trades,win_rate,exposure,spec
TQQQ,gap,OOS_REUSED,5,1.0072564063990925,0.41711487745023446,1.189665172650355,-0.33320697920358366,1.2518191499085753,22,0.4090909090909091,0.4552683896620278,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,OOS_REUSED,10,0.9635789536046158,0.40160146669697694,1.1572144313194634,-0.3355369259602131,1.1968920128468887,22,0.4090909090909091,0.4552683896620278,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,OOS_REUSED,25,0.8381664686544077,0.3560726673596335,1.0598278020443521,-0.34247903601380325,1.0396918640745134,22,0.4090909090909091,0.4552683896620278,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,OOS_REUSED,50,0.6466896273674956,0.28345325882636807,0.8976540496060504,-0.35389177702644903,0.8009602856784758,22,0.36363636363636365,0.4552683896620278,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,rsi2,IS,0,1.9077157407584031,0.1951368197712604,0.8516785281276449,-0.48404716356568533,0.4031359637226348,74,0.6621621621621622,0.19602649006622516,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,IS,5,1.7003132855271677,0.1804573649185599,0.8009487115322734,-0.4922367184819918,0.3666068745847976,74,0.6621621621621622,0.19602649006622516,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,IS,10,1.5077044045233263,0.16595820556039453,0.7502148929235476,-0.5002962872011101,0.3317198424334545,74,0.6486486486486487,0.19602649006622516,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,IS,25,1.0084575376840474,0.12352042335923885,0.5981305099456499,-0.5237155821039737,0.235854016149392,74,0.6081081081081081,0.19602649006622516,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,IS,50,0.3873030871049845,0.05619469317782699,0.345877636510519,-0.5603345812627412,0.10028774781522412,74,0.5405405405405406,0.19602649006622516,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,VALIDATION,0,0.30613565723905567,0.1433871276845471,0.6387985022269942,-0.241773943905346,0.5930627815736953,34,0.5882352941176471,0.2714570858283433,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,VALIDATION,5,0.26247350390124824,0.12404820921618609,0.574778272193874,-0.2455556124511199,0.505173585640927,34,0.5882352941176471,0.2714570858283433,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
TQQQ,rsi2,VALIDATION,10,0.22027089002875888,0.10503637418436451,0.5105808701457403,-0.24931842172147345,0.42129407630257704,34,0.5882352941176471,0.2714570858283433,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
